Anapa-Vityazevo,-4447,244021,138
Krasnodar-Center,11652,366766,-87
Novorossiysk,-40299,279853,137
Krymsk,-7349,293711,-40
Maykop-Khanskaya,-27625,457047,-39
Gelendzhik,-50995,297848,-41
Sochi-Adler,-165163,460901,-62
Krasnodar-Pashkovsky,8706,388985,132
Sukhumi-Babushara,-221381,565908,63
Gudauta,-195650,515898,-152
Batumi,-356437,618210,54
Senaki-Kolkhi,-281903,648379,85
Kobuleti,-317604,636704,109
Kutaisi,-284582,685029,106
Mineralnye Vody,-52089,707418,64
Nalchik,-125487,759560,-56
Mozdok,-83329,835634,97
Tbilisi-Lochini,-314926,895724,-128
Soganlug,-318656,896274,47
Vaziani,-318191,902331,-136
Beslan,-148472,842251,-94
